date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:24	18635/18635	---M--	200	added ('OK')	text/x-chdr	etag:%2248cb-5113cdca40540%22	https://www.httrack.com/src/coucal.h	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/coucal.h	(from https://www.httrack.com/src/)
01:31:24	29749/29749	---M-Z	200	added ('OK')	text/html	etag:%227435-5113cdca40540-gzip%22	https://www.httrack.com/src/coucal.h.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/coucal.h.html	(from https://www.httrack.com/src/)
01:31:24	52432/52432	---M--	200	added ('OK')	text/x-chdr	etag:%22ccd0-5113ff9327a40%22	https://www.httrack.com/src/hts-indextmpl.h	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/hts-indextmpl.h	(from https://www.httrack.com/src/)
01:31:24	97233/97233	---M-Z	200	added ('OK')	text/html	etag:%2217bd1-5113ff9327a40-gzip%22	https://www.httrack.com/src/hts-indextmpl.h.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/hts-indextmpl.h.html	(from https://www.httrack.com/src/)
01:31:24	20308/20308	---M--	200	added ('OK')	text/x-csrc	etag:%224f54-5113ff9327a40%22	https://www.httrack.com/src/htsalias.c	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsalias.c	(from https://www.httrack.com/src/)
01:31:25	61047/61047	---M-Z	200	added ('OK')	text/html	etag:%22ee77-5113ff9327a40-gzip%22	https://www.httrack.com/src/htsalias.c.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsalias.c.html	(from https://www.httrack.com/src/)
01:31:25	2174/2174	---M--	200	added ('OK')	text/x-chdr	etag:%2287e-5113ff9327a40%22	https://www.httrack.com/src/htsalias.h	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsalias.h	(from https://www.httrack.com/src/)
01:31:25	5156/5156	---M-Z	200	added ('OK')	text/html	etag:%221424-5113ff9327a40-gzip%22	https://www.httrack.com/src/htsalias.h.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsalias.h.html	(from https://www.httrack.com/src/)
01:31:25	4722/4722	---M--	200	added ('OK')	text/x-chdr	etag:%221272-5113ff9327a40%22	https://www.httrack.com/src/htsarrays.h	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsarrays.h	(from https://www.httrack.com/src/)
01:31:25	7836/7836	---M-Z	200	added ('OK')	text/html	etag:%221e9c-5113ff9327a40-gzip%22	https://www.httrack.com/src/htsarrays.h.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsarrays.h.html	(from https://www.httrack.com/src/)
01:31:26	162765/162765	---M--	200	added ('OK')	text/x-csrc	etag:%2227bcd-5113ff9327a40%22	https://www.httrack.com/src/htsback.c	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsback.c	(from https://www.httrack.com/src/)
01:31:26	276840/276840	---M-Z	200	added ('OK')	text/html	etag:%2243968-5113ff9327a40-gzip%22	https://www.httrack.com/src/htsback.c.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsback.c.html	(from https://www.httrack.com/src/)
01:31:26	5914/5914	---M--	200	added ('OK')	text/x-chdr	etag:%22171a-5113ff9327a40%22	https://www.httrack.com/src/htsback.h	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsback.h	(from https://www.httrack.com/src/)
01:31:26	14805/14805	---M-Z	200	added ('OK')	text/html	etag:%2239d5-5113ff9327a40-gzip%22	https://www.httrack.com/src/htsback.h.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsback.h.html	(from https://www.httrack.com/src/)
01:31:27	3039/3039	---M--	200	added ('OK')	text/x-chdr	etag:%22bdf-5113ff9327a40%22	https://www.httrack.com/src/htsbase.h	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsbase.h	(from https://www.httrack.com/src/)
01:31:27	7899/7899	---M-Z	200	added ('OK')	text/html	etag:%221edb-5113ff9327a40-gzip%22	https://www.httrack.com/src/htsbase.h.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsbase.h.html	(from https://www.httrack.com/src/)
01:31:27	4751/4751	---M--	200	added ('OK')	text/x-chdr	etag:%22128f-5113ff9327a40%22	https://www.httrack.com/src/htsbasenet.h	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsbasenet.h	(from https://www.httrack.com/src/)
01:31:27	7983/7983	---M-Z	200	added ('OK')	text/html	etag:%221f2f-5113ff9327a40-gzip%22	https://www.httrack.com/src/htsbasenet.h.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsbasenet.h.html	(from https://www.httrack.com/src/)
01:31:27	1970/1970	---M--	200	added ('OK')	text/x-sh	etag:%227b2-5113cdca40540%22	https://www.httrack.com/src/htsbasiccharsets.sh	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsbasiccharsets.sh	(from https://www.httrack.com/src/)
01:31:28	13982/13982	---M--	200	added ('OK')	text/x-csrc	etag:%22369e-5113ff9327a40%22	https://www.httrack.com/src/htsbauth.c	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsbauth.c	(from https://www.httrack.com/src/)
01:31:28	29367/29367	---M-Z	200	added ('OK')	text/html	etag:%2272b7-5113ff9327a40-gzip%22	https://www.httrack.com/src/htsbauth.c.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsbauth.c.html	(from https://www.httrack.com/src/)
01:31:28	3051/3051	---M--	200	added ('OK')	text/x-chdr	etag:%22beb-5113ff9327a40%22	https://www.httrack.com/src/htsbauth.h	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsbauth.h	(from https://www.httrack.com/src/)
01:31:28	7811/7811	---M-Z	200	added ('OK')	text/html	etag:%221e83-5113ff9327a40-gzip%22	https://www.httrack.com/src/htsbauth.h.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htsbauth.h.html	(from https://www.httrack.com/src/)
01:31:29	81673/81673	---M--	200	added ('OK')	text/x-csrc	etag:%2213f09-5113ff9327a40%22	https://www.httrack.com/src/htscache.c	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscache.c	(from https://www.httrack.com/src/)
01:31:29	142274/142274	---M-Z	200	added ('OK')	text/html	etag:%2222bc2-5113ff9327a40-gzip%22	https://www.httrack.com/src/htscache.c.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscache.c.html	(from https://www.httrack.com/src/)
01:31:29	3786/3786	---M--	200	added ('OK')	text/x-chdr	etag:%22eca-5113ff9327a40%22	https://www.httrack.com/src/htscache.h	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscache.h	(from https://www.httrack.com/src/)
01:31:30	9478/9478	---M-Z	200	added ('OK')	text/html	etag:%222506-5113ff9327a40-gzip%22	https://www.httrack.com/src/htscache.h.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscache.h.html	(from https://www.httrack.com/src/)
01:31:30	7467/7467	---M--	200	added ('OK')	text/x-csrc	etag:%221d2b-5113ff9327a40%22	https://www.httrack.com/src/htscatchurl.c	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscatchurl.c	(from https://www.httrack.com/src/)
01:31:30	14873/14873	---M-Z	200	added ('OK')	text/html	etag:%223a19-5113ff9327a40-gzip%22	https://www.httrack.com/src/htscatchurl.c.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscatchurl.c.html	(from https://www.httrack.com/src/)
01:31:30	2296/2296	---M--	200	added ('OK')	text/x-chdr	etag:%228f8-5113ff9327a40%22	https://www.httrack.com/src/htscatchurl.h	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscatchurl.h	(from https://www.httrack.com/src/)
01:31:30	4707/4707	---M-Z	200	added ('OK')	text/html	etag:%221263-5113ff9327a40-gzip%22	https://www.httrack.com/src/htscatchurl.h.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscatchurl.h.html	(from https://www.httrack.com/src/)
01:31:31	36193/36193	---M--	200	added ('OK')	text/x-csrc	etag:%228d61-5113ff9327a40%22	https://www.httrack.com/src/htscharset.c	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscharset.c	(from https://www.httrack.com/src/)
01:31:31	77981/77981	---M-Z	200	added ('OK')	text/html	etag:%221309d-5113ff9327a40-gzip%22	https://www.httrack.com/src/htscharset.c.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscharset.c.html	(from https://www.httrack.com/src/)
01:31:31	5448/5448	---M--	200	added ('OK')	text/x-chdr	etag:%221548-5113ff9327a40%22	https://www.httrack.com/src/htscharset.h	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscharset.h	(from https://www.httrack.com/src/)
01:31:31	11417/11417	---M-Z	200	added ('OK')	text/html	etag:%222c99-5113ff9327a40-gzip%22	https://www.httrack.com/src/htscharset.h.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscharset.h.html	(from https://www.httrack.com/src/)
01:31:32	118597/118597	---M-Z	200	added ('OK')	text/html	etag:%221cf45-5113cdca40540-gzip%22	https://www.httrack.com/src/htscodepages.h.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/htscodepages.h.html	(from https://www.httrack.com/src/)
